Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,166.37,-67.75,0,top
C2,0.1uF,C_0402_1005Metric,166.37,-66.56,0,top
C3,0.1uF,C_0402_1005Metric,158.07,-62.4,0,top
C4,0.1uF,C_0402_1005Metric,155.42,-67.549998,180,top
C5,0.1uF,C_0402_1005Metric,164,-66.25,90,top
C6,0.1uF,C_0402_1005Metric,161.95,-61.4,90,top
C7,0.1uF,C_0402_1005Metric,154.3,-72.75,180,top
C8,0.1uF,C_0402_1005Metric,166.6,-71.45,0,top
C9,0.1uF,C_0402_1005Metric,161.3,-77.89,-90,top
C10,1uF,C_0402_1005Metric,162.9,-65.15,90,top
C11,0.1uF,C_0402_1005Metric,159.95,-63.05,90,top
C12,0.1uF,C_0402_1005Metric,162.96,-77.37,-90,top
C13,10uF,C_0603_1608Metric,166,-65.2,180,top
C14,10uF,C_0603_1608Metric,155.645,-59.810006,180,top
C15,33pF,C_0402_1005Metric,155.899998,-78.87,90,top
C16,33pF,C_0402_1005Metric,161.22,-79.81,-90,top
C17,0.1uF,C_0402_1005Metric,160.95,-61.38,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.7,-53.29,180,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,157.988,-100.076,90,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,151.6,-52.32,0,top
J4,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,169.7,-100.640001,180,top
R1,5.1K,R_0402_1005Metric,164.3,-63.65,0,top
R2,5.1K,R_0402_1005Metric,158.3,-59.2,180,top
R3,27,R_0402_1005Metric,161.9,-65.14,90,top
R4,27,R_0402_1005Metric,160.95,-64.6,-90,top
R5,1K,R_0402_1005Metric,160.34,-76.4,180,top
R6,10K,R_0402_1005Metric,155.99,-62.4,180,top
R7,1K,R_0402_1005Metric,163.6,-83.49,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,165.15,-78.6,90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,160.2,-71.05,0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,160.75,-92.55,-90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,156.85,-64.35,0,top
U4,MCP1700x-330xxTT,SOT-23,165.8,-60.65,90,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,158.6,-79.35,180,top
